Batch Index,Description,Courses,Preferred Tmeslots
0,Level 1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19","0,1,2,3,9,10,11,12,18,19,20,21,27,28,29"
1,Level 2,"11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26","2,3,4,5,12,13,14,19,20,21,22,29,30,31,32"
2,Level 3,"15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31","3,4,5,6,13,14,15,20,21,22,23,30,31,32,33"
3,Level 4,"20,21,22,23,24,25,26,27,28,29,30,31","4,5,6,13,14,15,22,23,24,31,32,33"
4,Optional,"32,33,34,35,36,37,38,39,40,41,42","7,8,16,17,25,26,34,35,43,44"
